VCD info: dumpfile results/tb_grid.vcd opened for output.
Time: 2801470 | din: 249 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2801535 | din: 249 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2901470 | din:  26 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2901520 | din:  26 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3001520 | din: 238 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3001570 | din: 238 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3001715 | din: 238 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3101570 | din:  16 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3101620 | din:  16 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3201620 | din: 253 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3201670 | din: 253 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3301670 | din: 241 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3301720 | din: 241 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3401720 | din:   8 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3401770 | din:   8 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3501770 | din: 233 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3501820 | din: 233 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3501925 | din: 233 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3601820 | din:   4 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3601870 | din:   4 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3701870 | din:   9 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3701920 | din:   9 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3801920 | din: 192 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3801970 | din: 192 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3802005 | din: 192 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   3 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3802175 | din: 192 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   3 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3802425 | din: 192 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   3 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
